aid,street_address,postal_code,municipality,population,is capital area,building,description,rent,size,build_year,tax value,euromääräinen erotus,suhteellinen erotus,rental_service,url
468050,Teiskontie 10,33500,Tampere,,0,kerrostalo,"3h, keittö, ruokailutila, kph",1000,53.5,1956,404.6,-595.4,40.46%,,/vuokra-asunto/tampere/kaleva/kerrostalo/kolmio/468050?entryPoint=fromSearch&rentalIndex=5315
455423,Melkonkatu 9 B,00210,Helsinki,,1,kerrostalo,"PENTHOUSE 4r,s,2 balc,parking",3250,133,2007,1323.1,-1926.9,40.71%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/lauttasaari/kerrostalo/4h/455423?entryPoint=fromSearch&rentalIndex=5964
480414,Rautatienkatu 22,33100,Tampere,,0,kerrostalo,2h+k+kph+p,990,53.5,1974,404.6,-585.4,40.87%,,/vuokra-asunto/tampere/keskusta/kerrostalo/kaksio/480414?entryPoint=fromSearch&rentalIndex=2804
463035,Westend,02160,Espoo,,1,omakotitalo,"VILLA; 6r, s, swimming pool",6000,265,2011,2471.5,-3528.5,41.19%,Celine Oy Ab LKV AFM,/vuokra-asunto/espoo/westend/omakotitalo/5h+/463035?entryPoint=fromSearch&rentalIndex=5644
482252,Sotkankatu 18,33230,Tampere,,0,kerrostalo,h + avokeittiö + kph/wc,525,20,1935,217,-308,41.33%,,/vuokra-asunto/tampere/keskusta/kerrostalo/yksio/482252?entryPoint=fromSearch&rentalIndex=2039
392226,Linnankatu 1 as,20100,Turku,,0,kerrostalo,"3h, avok, 2*kph,takka, ransk.p",1550,96,1931,642.6,-907.4,41.46%,"Aktia Kiinteistönvälitys Oy, Turku, Aktia Fastighetsförmedling Ab, Åbo",/vuokra-asunto/turku/keskusta/kerrostalo/kolmio/392226?entryPoint=fromSearch&rentalIndex=4345
469118,Askaistentie 37,20810,Turku,,0,kerrostalo,2h+k+s+p,900,48,1981,373.8,-526.2,41.53%,OVV Turku,/vuokra-asunto/turku/vahaheikkila/kerrostalo/kaksio/469118?entryPoint=fromSearch&rentalIndex=5237
455202,Vähäuusikatu 10,28100,Pori,,0,omakotitalo,5h+k+s+khh,2000,130,1938,833,-1167,41.65%,OVV Asuntopalvelut | Porin Vuokrakeskus,/vuokra-asunto/pori/itatulli/omakotitalo/5h+/455202?entryPoint=fromSearch&rentalIndex=5717
456982,Kirkkokatu 2,90100,Oulu,,0,kerrostalo,3h+k+s+kph+wc,1300,78,1879,541.8,-758.2,41.68%,,/vuokra-asunto/oulu/keskusta/kerrostalo/kolmio/456982?entryPoint=fromSearch&rentalIndex=5921
312135,Eteläinen Makasiinikatu 4,00130,Helsinki,,1,kerrostalo,3h+k+s,3153,112,1903,1324.6,-1828.4,42.01%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/kaartinkaupunki/kerrostalo/kolmio/312135?entryPoint=fromSearch&rentalIndex=3365
464681,Fredrikinkatu 63a C 14,00100,Helsinki,,1,kerrostalo,1 h +k +makuualko-ovi+s,1450,51,2005,609.7,-840.3,42.05%,Taloexpert,/vuokra-asunto/helsinki/kamppi/kerrostalo/yksio/464681?entryPoint=fromSearch&rentalIndex=5572
476348,Merimiehenkatu 32 A 9,00150,Helsinki,,1,kerrostalo,3h+kk+sh+p,1300,49.5,1962,550.05,-749.95,42.31%,,/vuokra-asunto/helsinki/punavuori/kerrostalo/kolmio/476348?entryPoint=fromSearch&rentalIndex=4071
476813,Merikatu 41,00150,Helsinki,,1,kerrostalo,3-4 h+k+kph+wc+2 parv (furn.),2950,105,1936,1252.5,-1697.5,42.46%,Luxhousing,/vuokra-asunto/helsinki/eira/kerrostalo/kolmio/476813?entryPoint=fromSearch&rentalIndex=3970
482959,Hallituskatu 18,33200,Tampere,,0,kerrostalo,1h+kk,541,22.5,1963,231,-310,42.70%,SATO Vuokraus ja myynti / Tampere,/vuokra-asunto/tampere/keskusta/kerrostalo/yksio/482959?entryPoint=fromSearch&rentalIndex=1674
473529,Merimiehenkatu 6 D 42,00120,Helsinki,,1,kerrostalo,Ullakko-penth. 2h+avok+s+teras,1650,52,1895,706.6,-943.4,42.82%,,/vuokra-asunto/helsinki/punavuori/kerrostalo/kaksio/473529?entryPoint=fromSearch&rentalIndex=4611
481976,Eteläinen Hesperiankatu 4 A,00100,Helsinki,,1,kerrostalo,"Unfurnished 3r, s, PARKING",2500,104.5,2010,1075.15,-1424.85,43.01%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/kolmio/481976?entryPoint=fromSearch&rentalIndex=2161
483434,Näsilinnankatu 21,33210,Tampere,,0,kerrostalo,2h + kk + p,895,50.5,1965,387.8,-507.2,43.33%,,/vuokra-asunto/tampere/keskusta/kerrostalo/kaksio/483434?entryPoint=fromSearch&rentalIndex=1363
482243,Palomäentie 20 B 1,33230,Tampere,,0,kerrostalo,h+avokeittiö,520,21.5,1967,225.4,-294.6,43.35%,,/vuokra-asunto/tampere/pyynikki/kerrostalo/yksio/482243?entryPoint=fromSearch&rentalIndex=2003
483840,Kyllikinraitti 11 A,33500,Tampere,,0,kerrostalo,1h+kt,957,55.5,1957,415.8,-541.2,43.45%,Ovenia (co. Keskinäinen Eläkevakuutusyhtiö Ilmarinen),/vuokra-asunto/tampere/kaleva/kerrostalo/yksio/483840?entryPoint=fromSearch&rentalIndex=1107
482974,Punavuorenkatu 23,00150,Helsinki,,1,kerrostalo,1h+kk+p,950,32.5,1974,415.75,-534.25,43.76%,,/vuokra-asunto/helsinki/punavuori/kerrostalo/yksio/482974?entryPoint=fromSearch&rentalIndex=1654
473151,Lönnrotinkatu 32,00180,Helsinki,,1,kerrostalo,3h+kk+s,2184,76.5,1890,958.95,-1225.05,43.91%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/kamppi/kerrostalo/kolmio/473151?entryPoint=fromSearch&rentalIndex=4732
479825,Vuorikatu 4 B,00100,Helsinki,,1,kerrostalo,3h + kk + kph + vh + lasitettu,1690,66.5,2013,744.55,-945.45,44.06%,Vuokraturva Oy LKV [A],/vuokra-asunto/helsinki/kluuvi/kerrostalo/kolmio/479825?entryPoint=fromSearch&rentalIndex=2999
472166,Hallituskatu 7,33200,Tampere,,0,kerrostalo,3H+K+S,1293,83,1957,569.8,-723.2,44.07%,VVO-kotikeskus Tampere,/vuokra-asunto/tampere/keskusta/kerrostalo/kolmio/472166?entryPoint=fromSearch&rentalIndex=4852
481000,Kellosaarenranta 1 D,00180,Helsinki,,1,kerrostalo,"Unfurnished 5r, s, balcony",2800,123,1997,1236.1,-1563.9,44.15%,Celine Oy Ab LKV AFM,/vuokra-asunto/helsinki/ruoholahti/kerrostalo/4h/481000?entryPoint=fromSearch&rentalIndex=2594
463096,Haapaniemenkatu 16 B,00530,Helsinki,,1,kerrostalo,1h + avok + kph + alkovi + las,860,28,1974,380.2,-479.8,44.21%,Vuokraturva Oy LKV [A],/vuokra-asunto/helsinki/merihaka/kerrostalo/yksio/463096?entryPoint=fromSearch&rentalIndex=5679
474991,Mechelininkatu 3 b,00100,Helsinki,,1,kerrostalo,"1 h, kt, s",1300,47,2014,574.9,-725.1,44.22%,Realia Asuntovuokraus / Suurasiakkaat,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/yksio/474991?entryPoint=fromSearch&rentalIndex=4329
474992,Mechelininkatu 3 b,00100,Helsinki,,1,kerrostalo,"1 h, kt, s",1300,47,2014,574.9,-725.1,44.22%,Realia Asuntovuokraus / Suurasiakkaat,/vuokra-asunto/helsinki/etu-toolo/kerrostalo/yksio/474992?entryPoint=fromSearch&rentalIndex=4330
311027,Kasarmikatu 10,00140,Helsinki,,1,kerrostalo,1h+kk,1153,33,1937,510.9,-642.1,44.31%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/kaartinkaupunki/kerrostalo/yksio/311027?entryPoint=fromSearch&rentalIndex=1936
474097,Välikatu 10 C,06100,Porvoo,,0,puutalo-osake,"3h + keittiö , 2 kakluunia",1200,77,1770,536.2,-663.8,44.68%,,/vuokra-asunto/porvoo/wanha+porvoo/puutalo-osake/kolmio/474097?entryPoint=fromSearch&rentalIndex=4505
484959,Kuninkaankatu 34,33200,Tampere,,0,kerrostalo,1h + kk,525,23.4,1964,236.04,-288.96,44.96%,,/vuokra-asunto/tampere/keskusta/kerrostalo/yksio/484959?entryPoint=fromSearch&rentalIndex=122
479438,Haapaniementie 6-8 A,70100,Kuopio,,0,kerrostalo,"4h+k+s, autokatos",2200,134,1987,992.4,-1207.6,45.11%,LKV Kiinteistöinssi Oy,/vuokra-asunto/kuopio/kerrostalo/4h/479438?entryPoint=fromSearch&rentalIndex=3132
460649,Siuntiontie 555,02580,Siuntio,,0,rivitalo,1h+kph,540,25,1930,245,-295,45.37%,,/vuokra-asunto/siuntio/bollstad/rivitalo/yksio/460649?entryPoint=fromSearch&rentalIndex=5771
447553,Limonadikuja 6,00390,Helsinki,,1,kerrostalo,2h+kph+keittiö+parveke+sauna,1400,54,2013,635.8,-764.2,45.41%,,/vuokra-asunto/helsinki/konala/kerrostalo/kaksio/447553?entryPoint=fromSearch&rentalIndex=6179
480181,Kullervonkatu 16,33500,Tampere,,0,kerrostalo,1H+KK+S,662,35,1928,301,-361,45.47%,VVO-kotikeskus Tampere,/vuokra-asunto/tampere/tammela/kerrostalo/yksio/480181?entryPoint=fromSearch&rentalIndex=2899
481933,Kaupinkalliontie 5,02100,Espoo,,1,kerrostalo,2h+kk,1416,55,2012,644.5,-771.5,45.52%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/espoo/tapiola/kerrostalo/kaksio/481933?entryPoint=fromSearch&rentalIndex=2181
411137,Messeniuksenkatu 5,00250,Helsinki,,1,kerrostalo,2h+kk,1507,50,1939,686,-821,45.52%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/taka-toolo/kerrostalo/kaksio/411137?entryPoint=fromSearch&rentalIndex=3371
446572,Amiraalinkatu 2,00160,Helsinki,,1,kerrostalo,1h+kk,914,33,1979,419.7,-494.3,45.92%,SATO Vuokraus ja myynti / Helsinki,/vuokra-asunto/helsinki/katajanokka/kerrostalo/yksio/446572?entryPoint=fromSearch&rentalIndex=3379
484367,Rantakylänkatu 11 A,80160,Joensuu,,0,kerrostalo,1 huone kaksiosta+tupak+p,350,10,1972,161,-189,46.00%,OVV Asuntopalvelut,/vuokra-asunto/joensuu/rantakyla/kerrostalo/yksio/484367?entryPoint=fromSearch&rentalIndex=681
